                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.65553,                 0.5543,                 1.0976,                0.44817,                0.39089,                0.40005,                0.28959,                 1.5035,                 2.0134,                 1.5742,             0.00059955,             0.00059955,             0.00059955
                     95,                0.65828,                0.55509,                 1.1069,                0.58712,                  0.463,                0.44477,                0.33371,                 1.3233,                 1.6496,                 1.4705,             0.00059405,             0.00059405,             0.00059405
                     96,                0.66518,                0.55271,                 1.1076,                0.53408,                0.46887,                0.43367,                0.32162,                 1.3508,                 1.6678,                  1.512,             0.00058855,             0.00058855,             0.00058855
                     97,                0.66588,                0.56549,                 1.1072,                  0.504,                0.49085,                 0.4339,                0.32284,                 1.3377,                 1.6149,                 1.5071,             0.00058305,             0.00058305,             0.00058305
                     98,                0.64677,                0.54015,                 1.0983,                0.51922,                0.49435,                0.45024,                0.33641,                 1.3479,                 1.6243,                 1.5232,             0.00057755,             0.00057755,             0.00057755
                     99,                0.66334,                0.55054,                 1.1003,                0.53146,                 0.4799,                0.44168,                0.32947,                   1.33,                 1.5767,                 1.4805,             0.00057205,             0.00057205,             0.00057205
                    100,                0.65444,                0.53625,                 1.0927,                0.54252,                0.46759,                0.43721,                0.32662,                 1.3083,                 1.6361,                  1.463,             0.00056655,             0.00056655,             0.00056655
                    101,                0.64477,                0.53469,                 1.0894,                0.51812,                0.47421,                0.43865,                0.32986,                 1.3147,                 1.6663,                 1.4719,             0.00056105,             0.00056105,             0.00056105
                    102,                0.65164,                0.54559,                 1.0951,                0.52968,                0.48726,                0.44703,                0.33206,                 1.3433,                 1.6325,                 1.5068,             0.00055556,             0.00055556,             0.00055556
                    103,                0.65493,                 0.5383,                 1.1012,                0.51869,                 0.4753,                 0.4333,                0.32613,                 1.3188,                 1.5982,                 1.4959,             0.00055006,             0.00055006,             0.00055006
                    104,                0.64137,                0.53141,                 1.0906,                0.53057,                 0.4673,                0.43338,                0.32768,                 1.3383,                 1.6301,                 1.4957,             0.00054456,             0.00054456,             0.00054456
                    105,                0.65242,                0.52854,                 1.0946,                0.53465,                0.45636,                0.43417,                0.32509,                 1.3842,                 1.7502,                 1.5569,             0.00053906,             0.00053906,             0.00053906
                    106,                0.63164,                0.52435,                 1.0819,                0.53779,                0.45506,                0.42247,                0.32129,                 1.3266,                 1.6631,                 1.5035,             0.00053356,             0.00053356,             0.00053356
                    107,                0.63419,                0.52114,                 1.0849,                0.51863,                0.48423,                0.43703,                0.32744,                 1.3271,                 1.6138,                 1.5105,             0.00052806,             0.00052806,             0.00052806
                    108,                0.63443,                0.51353,                 1.0795,                0.56275,                0.44795,                0.43351,                0.32557,                 1.3445,                 1.6666,                 1.5267,             0.00052256,             0.00052256,             0.00052256
                    109,                0.61363,                0.50001,                 1.0752,                0.53275,                0.47069,                0.43624,                0.32784,                 1.3382,                 1.6747,                 1.5186,             0.00051706,             0.00051706,             0.00051706
                    110,                 0.6251,                 0.5101,                 1.0776,                0.50461,                0.46699,                0.42097,                0.32006,                 1.3208,                 1.6805,                 1.5131,             0.00051156,             0.00051156,             0.00051156
                    111,                0.61279,                 0.5017,                 1.0689,                0.53129,                0.45919,                0.43988,                0.32974,                 1.3404,                 1.6512,                 1.5077,             0.00050606,             0.00050606,             0.00050606
                    112,                0.62902,                0.51324,                   1.08,                0.59893,                0.43824,                0.43549,                0.32425,                 1.3549,                 1.6859,                 1.4986,             0.00050056,             0.00050056,             0.00050056
                    113,                 0.6223,                0.50464,                  1.081,                0.57599,                 0.4504,                0.44261,                0.33526,                 1.3157,                 1.6631,                 1.4867,             0.00049506,             0.00049506,             0.00049506
                    114,                0.61196,                0.50293,                 1.0762,                0.52915,                0.47344,                0.43459,                 0.3285,                 1.3374,                 1.6523,                 1.5123,             0.00048956,             0.00048956,             0.00048956
                    115,                0.61306,                0.49595,                 1.0723,                 0.5555,                0.47116,                0.43912,                0.33181,                 1.3137,                 1.6568,                 1.5273,             0.00048406,             0.00048406,             0.00048406
                    116,                0.61003,                0.49832,                 1.0677,                0.56856,                0.45665,                0.43806,                0.33189,                 1.3379,                 1.6796,                 1.5246,             0.00047856,             0.00047856,             0.00047856
                    117,                0.61663,                0.50037,                 1.0706,                0.56861,                0.45734,                0.43974,                0.32933,                 1.3209,                 1.6937,                 1.5005,             0.00047306,             0.00047306,             0.00047306
                    118,                0.59427,                  0.479,                 1.0587,                0.60358,                0.44553,                0.43702,                0.33301,                 1.3152,                 1.6666,                 1.4721,             0.00046756,             0.00046756,             0.00046756
                    119,                0.60738,                0.48536,                 1.0689,                0.55138,                0.47231,                0.44274,                0.33116,                 1.3062,                 1.6423,                 1.4873,             0.00046206,             0.00046206,             0.00046206
                    120,                0.61585,                 0.4966,                 1.0762,                0.57345,                  0.458,                0.43423,                0.33272,                 1.3415,                 1.6716,                 1.5203,             0.00045657,             0.00045657,             0.00045657
                    121,                0.60599,                0.47879,                 1.0676,                0.56682,                0.47048,                0.44498,                0.33504,                 1.3507,                 1.7334,                 1.5328,             0.00045107,             0.00045107,             0.00045107
                    122,                0.60576,                 0.4836,                 1.0613,                0.53145,                0.47809,                0.44219,                0.33594,                 1.3278,                 1.6243,                 1.4963,             0.00044557,             0.00044557,             0.00044557
                    123,                0.60511,                0.48981,                 1.0645,                0.55381,                0.47799,                0.44505,                0.33759,                 1.3417,                 1.6716,                 1.5133,             0.00044007,             0.00044007,             0.00044007
